Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-11-12 00:00:00-05:00,331.49329763734,332.55608865324723,327.4659524226816,329.2838439941406,67546200,0.0,0.0,0.0
2020-11-13 00:00:00-05:00,331.20421584497933,334.58832640287704,330.6821521807107,333.842529296875,62892200,0.0,0.0,0.0
2020-11-16 00:00:00-05:00,336.5274745400829,338.2055324040506,335.23161852319635,338.009765625,74541100,0.0,0.0,0.0
2020-11-17 00:00:00-05:00,335.58593068439836,337.40385067529587,334.06634098591303,336.19189453125,66111000,0.0,0.0,0.0
2020-11-18 00:00:00-05:00,336.4622151307247,337.0122455337377,332.1085451114896,332.1458435058594,70591300,0.0,0.0,0.0
2020-11-19 00:00:00-05:00,331.51186821510703,333.9170879953696,330.16007899284335,333.544189453125,59940900,0.0,0.0,0.0
2020-11-20 00:00:00-05:00,333.2832418785046,333.48834039613587,331.18565504150706,331.2602233886719,70417300,0.0,0.0,0.0
2020-11-23 00:00:00-05:00,333.0781105421872,334.5138000241452,330.8313587818934,333.24591064453125,63230600,0.0,0.0,0.0
2020-11-24 00:00:00-05:00,335.8096089274794,339.1657530390702,334.9519450408349,338.61572265625,62415900,0.0,0.0,0.0
2020-11-25 00:00:00-05:00,338.5319137721488,338.55988046184575,336.993688938127,338.09375,45330900,0.0,0.0,0.0
2020-11-27 00:00:00-05:00,339.1937161832419,339.51068139459466,338.0190586438531,339.0352478027344,28514100,0.0,0.0,0.0
2020-11-30 00:00:00-05:00,338.2520710790807,338.5224345952751,334.84002262099403,337.53424072265625,83872700,0.0,0.0,0.0
2020-12-01 00:00:00-05:00,340.80651298549947,342.7735691873469,340.20985254776235,341.22601318359375,74231400,0.0,0.0,0.0
2020-12-02 00:00:00-05:00,340.1073539820607,342.10237707755493,339.52935690252815,341.94390869140625,45927000,0.0,0.0,0.0
2020-12-03 00:00:00-05:00,341.84134577914966,343.24906853668045,340.7412849840267,341.8506774902344,62882000,0.0,0.0,0.0
2020-12-04 00:00:00-05:00,342.4380123903091,344.796630859375,342.34478062881516,344.796630859375,50749900,0.0,0.0,0.0
2020-12-07 00:00:00-05:00,344.02286968163634,344.58223185090435,342.81094202350715,344.088134765625,48944300,0.0,0.0,0.0
2020-12-08 00:00:00-05:00,342.8109508251914,345.6636666663259,342.76434916419834,345.0950012207031,42458900,0.0,0.0,0.0
2020-12-09 00:00:00-05:00,345.756856938236,345.91532532686597,341.1608184625429,341.9998474121094,74098300,0.0,0.0,0.0
