date,symbol,direction,pred_return,actual_return,position_value,num_contracts,commission,spread_cost,gross_pnl,fees,taxes,net_pnl,capital,correct
2022-10-27 21:00:00-07:00,DIA,SHORT,-0.005570149,-0.0035306215386423,934.8403930664062,1,2.38,2.711037139892578,110.01892089843625,5.091037139892578,40.817019653319846,64.11086410522383,10064.110864105223,True
2022-11-09 21:00:00-08:00,DIA,SHORT,-0.006498395,0.00157136630725,959.53564453125,1,2.38,2.782653369140625,-50.25939941406063,5.1626533691406244,0.0,-55.42205278320125,10008.688811322023,False
2022-11-10 21:00:00-08:00,DIA,SHORT,-0.005744422,-0.0059799048447117,961.0434265136718,1,2.38,2.787025936889648,191.56494140624798,5.167025936889647,71.070593261718,115.32732220764034,10124.016133529663,True
2022-11-16 21:00:00-08:00,DIA,SHORT,-0.0057046292,0.0058163793455054,956.2355346679688,1,2.38,2.7730830505371094,-185.39428710936954,5.153083050537109,0.0,-190.54737015990665,9933.468763369758,False
2024-05-19 21:00:00-07:00,DIA,LONG,0.0050104507,0.0017079470847622,1167.869567871094,1,2.38,3.3868217468261723,66.48864746093085,5.766821746826173,24.667288208005345,36.05453750609933,9969.523300875857,True
2024-05-21 21:00:00-07:00,DIA,LONG,0.0054818536,-0.0151262298578603,1163.6450500488281,1,2.38,3.3745706451416013,-586.7187499999976,5.754570645141602,0.0,-592.4733206451392,9377.049980230717,False
2024-08-25 21:00:00-07:00,DIA,LONG,0.0051539964,0.0004120175916744,1215.0217895507812,1,2.38,3.5235631896972652,16.68701171875442,5.903563189697265,6.190881347657889,4.592567181399264,9381.642547412115,True
2024-08-27 21:00:00-07:00,DIA,LONG,0.006609595,0.0062479473654606,1210.959228515625,1,2.38,3.5117817626953123,252.20031738281335,5.891781762695312,93.56631774902375,152.74221787109428,9534.38476528321,True
2024-11-05 21:00:00-08:00,DIA,SHORT,-0.006157901,0.0003658717704868,1291.4460754394531,1,2.38,3.745193618774414,-15.75012207030874,6.125193618774414,0.0,-21.875315689083152,9512.509449594127,False
2025-01-30 21:00:00-08:00,DIA,LONG,0.005024021,-0.0025147331124666,1320.6472778320312,1,2.38,3.82987710571289,-110.70251464843622,6.20987710571289,0.0,-116.91239175414911,9395.597057839977,False
2025-04-08 21:00:00-07:00,DIA,SHORT,-0.0067039393,-0.0256107925784655,1208.18701171875,1,2.38,3.5037423339843747,1031.420898437499,5.883742333984374,382.65715332031215,642.8800027832026,10038.47706062318,True
2025-04-20 21:00:00-07:00,DIA,SHORT,-0.0062902677,0.0268593569318624,1135.9764404296875,1,2.38,3.2943316772460935,-1017.0532226562501,5.674331677246093,0.0,-1022.7275543334962,9015.749506289683,False
2025-04-21 21:00:00-07:00,DIA,SHORT,-0.00530756,0.0103095008617739,1166.488037109375,1,2.38,3.382815307617187,-400.8636474609349,5.762815307617187,0.0,-406.6264627685521,8609.123043521131,False
2025-07-10 21:00:00-07:00,DIA,LONG,0.0054400205,0.0022770271054521,1325.1467285156248,1,2.38,3.8429255126953117,100.5798339843751,6.222925512695312,37.31511840820316,57.041790063476626,8666.164833584608,True
2025-08-20 21:00:00-07:00,DIA,LONG,0.005842203,0.019399493058585,1339.5694885253906,1,2.38,3.8847515167236324,866.2322998046859,6.264751516723632,321.37218322753847,538.5953650604238,9204.760198645032,True
2022-11-09 21:00:00-08:00,XLI,SHORT,-0.0058496953,-0.0006021131150133,854.8385009765625,3,7.14,2.479031652832031,17.1569824218766,9.619031652832032,6.365240478516218,1.1727102905283493,9205.93290893556,True
2025-04-08 21:00:00-07:00,XLI,SHORT,-0.0059107817,-0.0257967949915977,755.1324005126953,2,4.76,2.1898839614868164,649.3331909179683,6.949883961486816,240.90261383056622,401.4806931259153,9607.413602061475,True
2022-10-02 21:00:00-07:00,SLV,SHORT,-0.009341547,0.0136125771564945,916.8000183105468,16,38.08,2.6587200531005855,-416.00036621092966,40.738720053100586,0.0,-456.7390862640302,9150.674515797446,False
2022-10-03 21:00:00-07:00,SLV,SHORT,-0.0061910613,-0.0191116129942454,871.2000274658201,15,35.699999999999996,2.526480079650878,555.0012588500907,38.22648007965088,205.90546703338364,310.86931173705625,9461.543827534502,True
2022-11-29 21:00:00-08:00,SLV,SHORT,-0.0060276017,0.026921156575862,919.3500137329102,15,35.699999999999996,2.6661150398254394,-824.9988555908184,38.36611503982544,0.0,-863.3649706306438,8598.178856903858,False
2022-11-30 21:00:00-08:00,SLV,SHORT,-0.005888544,0.0147760429006174,818.2199821472168,13,30.939999999999998,2.3728379482269286,-403.0017852783226,33.31283794822693,0.0,-436.31462322654954,8161.864233677308,False
